title,rent_per_period,rent_period,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,ranter_or_agent_name,time_on_jiji,property_details
"2bdrm Apartment in No Name, Ruaka for rent",65000,per month,"Kiambu, Ruaka",100,2,3,Unfurnished,Agent,1484863,False,True,active,/ruaka-banana/houses-apartments-for-rent/2bdrm-apartment-in-no-name-ruaka-for-rent-dor2gnW6x87Zlu7915BqeY8j.html,,"Kiambu, Ruaka, 23/05",No name,Fairly Used,3,Gacukaranja,6 y 1 m on Jiji,"Modern spacious two bedrooms 
Well maintained 
well secure 
lift 
Cctv 
 Ample parking 
 Water 24/7 
 Near the main road 
 Accessible"
Furnished 5bdrm Penthouse in Shanzu-Seafront for rent,16500,per month,"Mombasa, Shanzu",56,5,3,Furnished,Owner,6249051,False,True,active,/shanzu/houses-apartments-for-rent/furnished-5bdrm-penthouse-in-shanzu-seafront-for-rent-aG4krwgZ3kxGtBHjYPdRmZQz.html,,"Mombasa, Shanzu, 23/05",Shanzu-Seafront apartments,Fairly Used,3,Moses Charo,3 m on Jiji,"Welcome to Shanzu-Seafront apartments located near Serena and prideinn flamingo hotel, here we have 1,2 and 3bedrooms.For booking call/watsapp no"
Furnished 3bdrm Penthouse in Shanzu Seafront 3 for rent,15000,per month,"Mombasa, Shanzu",56,3,3,Furnished,Owner,6249051,False,True,active,/shanzu/houses-apartments-for-rent/furnished-3bdrm-penthouse-in-shanzu-seafront-3-for-rent-yTnkcxUprV2CBLmPyDjJuPrw.html,,"Mombasa, Shanzu, 23/05",Shanzu seafront 3,Fairly Used,3,Moses Charo,3 m on Jiji,"Shanzu-Seafront apartments has 5 units of 3 bedrooms, 4 units of 1 bedrooms and 5 units of 2 bedrooms for booking call/watsapp no"
"4bdrm Apartment in Sydney Apartments, Parklands/Highridge for rent",110000,per month,"Nairobi, Parklands/Highridge",170,4,4,Unfurnished,Owner,6020678,False,True,active,/parklands-highridge/houses-apartments-for-rent/4bdrm-apartment-in-sydney-apartments-parklands-highridge-for-rent-aQs404j6dHgxzmbM3Z3ufmjV.html,,"Nairobi, Parklands/Highridge, 23/05",Sydney apartments,Fairly Used,4,Salim Ali,8 m on Jiji,"4-Bedroom Apartment in Parklands – For Rent!
 Location: Batubatu Gardens, 1st Avenue Parklands
 Price: Ksh 110K
 4 Bedrooms | 4 Bathrooms (3 En-suite)
 Luxury Amenities:
 High-Speed Lifts & Backup Generator
 Borehole & Ample Parking
 Swimming Pool & Gym
 CCTV Surveillance & More
 Prime Location – Near MP Shah & Avenue Hospital
 New & Ready for Occupation!
 Contact:"
"4bdrm Apartment in Sydney, Parklands/Highridge for rent",110000,per month,"Nairobi, Parklands/Highridge",170,4,4,Unfurnished,Agent,6020678,False,True,active,/parklands-highridge/houses-apartments-for-rent/4bdrm-apartment-in-sydney-parklands-highridge-for-rent-w9VH2tn5dt99mHkWXCmFmdCD.html,,"Nairobi, Parklands/Highridge, 23/05",sydney,Fairly Used,4,Salim Ali,8 m on Jiji,"Elevate Your Lifestyle in Parklands!
Step into your new life with this breathtaking 4-bedroom apartment featuring luxurious amenities that cater to your every need—swimming pool, gym access, ample parking—all within reach of top-notch healthcare facilities like MP Shah & Avenue Hospital. Own this dream space for Ksh 19M or make it yours to rent at Ksh 110K/month.
 Ready when you are—let’s make it happen!
 Call us today:"
"3bdrm Apartment in Acacia Estate, Kitengela for rent",40000,per month,"Kajiado, Kitengela",465,3,3,Unfurnished,Agent,2143727,False,True,active,/kitengela/houses-apartments-for-rent/3bdrm-apartment-in-acacia-estate-kitengela-for-rent-soY0BPgW5SxFgV5KN1Q4qNG5.html,,"Kajiado, Kitengela, 23/05",Acacia Estate,Newly-Built,3,Elitors Agencies,5 y 7 m on Jiji,"Newly done 3-Bedroom Bungalow with DSQ for Rent in a gated community.
Kitengela, Acacia Estate - Price: Ksh. 40,000 per month (Sitting on 50 by 100 plot of land)
Discover your dream home in the serene and fast-growing Acacia neighborhood of Kitengela. This charming 3-bedroom bungalow with a detached servant's quarter (DSQ) offers a perfect blend of modern living and comfort.
Property Features:
 Spacious living area with large windows and stylish finishes.
 Modern kitchen fitted with cabinets, ample counter space, and a pantry.
 Three bedrooms, with two ensuite
Private garden, perfect for outdoor activities.
Ample parking to accommodate 5 vehicles
Detached DSQ, ideal for extra accommodation.
Situated on its own compound in a gated community with reliable security and water supply.
Located just a short drive from Kitengela town"
"2bdrm Apartment in @George, Dagoretti for rent",18000,per month,"Nairobi, Dagoretti",20,2,1,Unfurnished,Agent,6335152,False,True,active,/dagoretti/houses-apartments-for-rent/2bdrm-apartment-in-george-dagoretti-for-rent-hjuI0gTl1YXe0cuT8oa0AFzl.html,,"Nairobi, Dagoretti, 23/05",@George,Newly-Built,1,George Kamau,2 m on Jiji,"To Let 
One & two bedroom unit
Located in Dagoretti along Kikuyu road 
5 minutes walk from Dagoretti police post
Standard houses for single dwelling or small families 
Spacious & well lit 
The compound is perfectly clean"
"Furnished 4bdrm Apartment in Mosata Gardens, Kileleshwa for rent",100000,per month,"Nairobi, Kileleshwa",400,4,3,Furnished,Agent,1158680,False,True,active,/kileleshwa/houses-apartments-for-rent/furnished-4bdrm-apartment-in-mosata-gardens-kileleshwa-for-rent-qgzSm8fRoqNcg00pA5yXbFyA.html,,"Nairobi, Kileleshwa, 24/05",MOSATA GARDENS,Fairly Used,3,Treasured Homes,6 y 1 m on Jiji,Very beautiful & classy well maintained 3 bedroomed apartment with dsq & balcony.Kindly note that this is unfurnished rate
4bdrm Townhouse / Terrace in Riverside Drive for rent,350000,per month,"Lavington, Riverside Drive",250,4,4,Unfurnished,Owner,1431191,False,True,active,/riverside-drive/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-riverside-drive-for-rent-fpE3kiq8oTpMo8wGlRavVZ1s.html,,"Nairobi, Lavington, Riverside Drive, 24/05",,Newly-Built,4,Bright Homes Management,6 y 1 m on Jiji,"Lavington
4-Bedroom Townhouse + DSQ for Rent
Features:
 All Bedrooms Ensuite
 Modern Finishing
 Closed Kitchen
 Spacious Lounge with fire place.
 Lovely garden.
Amenities:
 Secure Gated Community
 Ample Parking
 Prime Location in the Heart of Lavington"
4bdrm Townhouse Terrace in Spring Valley for rent,300000,per month,"Westlands, Spring Valley",250,4,4,Unfurnished,Owner,1431191,False,True,active,/spring-valley/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-spring-valley-for-rent-xxVYe4QPUfOQWokmHP8oM7Eu.html,,"Nairobi, Westlands, Spring Valley, 24/05",,Newly-Built,4,Bright Homes Management,6 y 1 m on Jiji,"WESTLANDS 
In a well secured gated community 
Modern 4 bedroom all en-suite townhouse with a family room, home office and en suite dsq for rent 
Features; 
-well lit sunken lounge.
-separate dining 
-closed fitted kitchen.
-guests bedrooms downstairs.
-huge laundry.
-private gate and garden.
-car parking for more than 4 and excellent security."
